name,address,full_day_seats,lat,lon
WHEDco Early Childhood Discovery Center*,50 East 168th Street NY 10452,97,40.8363879,-73.9190896
"3467 Ready, Set, Learn",3467 Third Avenue NY 10456,89,40.8300361,-73.906508
AMALGAMATED NURSERY SCHOOL,3980 Orloff Avenue NY 10463,20,40.884029,-73.892021
Be Above 52*,1810 Davidson Avenue NY 10453,40,40.8496495,-73.9118834
Bedrock Preschool,3220 Arlington Avenue NY 10463,40,40.884696,-73.911901
Belmont Community Day Care Center*,2340 Cambreleng Avenue NY 10458,103,40.853651,-73.885177
BRENDA'S PLAYSCHOOL,3930 Bailey Avenue NY 10463,12,40.884997,-73.895024
Brightside Academy*,331 East 150th Street NY 10458,14,40.817661,-73.9199919
Bronx Community College Early Childhood Center*,2155 University Avenue NY 10453,11,40.8568066,-73.9104444
Concourse House*,2751 Grand Concourse NY 10468,40,40.868404,-73.89336
Happy Days @ Riverdale,2975 Independence Ave NY 10463,18,40.8817253,-73.9181783
HOLY SPIRIT SCHOOL,1960 University Avenue NY 10453,0,40.8539165,-73.9116336
Kingsbridge Heights Comm. Ctr.,540 E. Fordham Rd NY 10458,91,40.859131,-73.887159
Kingsbridge Heights Community Center*,3101 Kingsbridge Terrace NY 10463,22,40.877579,-73.900715
Kingsbridge Montessori School,2500 Jerome Avenue NY 10468,36,40.864002,-73.899545
Lehman College Childcare Center,250 Bedford Park Boulevard West NY 10468,0,40.87325,-73.8936764
MARBLE HILL NURSERY SCHOOL,5470 Broadway NY 10463,0,40.8762773,-73.9066706
MARC Academy and Family Center*,302 East 111th Street NY 10453,62,40.793369,-73.939653
Monsignor Boyle*,3044 Hull Avenue NY 10467,14,40.871433,-73.879403
Mosholu Montefiore Community Center - NORTHSIDE ANNEX,3512 Dekalb Avenue NY 10467,20,40.882537,-73.879775
Mosholu Montefiore Community Center - Van Cortlandt Child Development Center(FD),3880 Sedgwick Avenue NY 10463,54,40.8826932,-73.8937561
NORTHEAST BRONX DAY CARE CENTER (SUSAN WAGNER),5401 Post Road NY 10471,18,40.9013783,-73.8980381
Our Lady of Mercy,2512 Marion Avenue NY 10458,18,40.8613099,-73.8931136
Our Lady of Mount Carmel,2465 Bathgate Ave NY 10458,54,40.8584015,-73.8890557
Paul T. Matson Head Start 3*,2431 Morris Avenue NY 10468,25,40.8614521,-73.9002219
Ready Set Learn,3480 Third Avenue NY 10456,0,40.8302225,-73.9060333
Riverdale Montessori School,5705 Mosholu Avenue NY 10471,20,40.905781,-73.900329
"RIVERDALE NEIGHBORHOOD HOUSE, INC.",5521 Mosholu Avenue NY 10471,72,40.903485,-73.903865
RIVERDALE PRESBYTERIAN CHURCH AND NURSERY SCHOOL,4765 Henry Hudson Parkway West NY 10471,0,40.8955868,-73.9083617
RIVERDALE TEMPLE NURSERY,4545 Independence Avenue NY 10471,0,40.8913579,-73.9128099
Round the Clock Nursery,2380 Marion Avenue NY 10458,80,40.8583106,-73.8955701
Saint Jemuel Group Family Day Care*,2836 Webb Avenue NY 10468,13,40.8727469,-73.900529
SAINT MARTIN OF TOURS,695 East 182nd Street NY 10457,0,40.8506915,-73.886598
SPUYTEN DUYVIL PRESCHOOL,3041 Kingsbridge Avenue NY 10463,17,40.879393,-73.907496
St. Brendan School,268 East 207th Street NY 10467,0,40.8755675,-73.8774486
ST. DOMINICS TORCH,2340 Andrews Avenue NY 10468,8,40.8623367,-73.9065393
Tender Tots Decatur,3322 Decatur Avenue NY 10467,0,40.876924,-73.8729029
The Salvation Army Tremont*,2121 Washington Avenue NY 10457,100,40.85212,-73.895577
Tolentine Zesier Community Life Center*,2340 Andrews Avenue NY 10468,99,40.8623367,-73.9065393
"Trabajamos Community Head Start, Inc. Center - University*",2167 University Avenue NY 10453,23,40.8579912,-73.9094786
"Trabajamos Community Head Start, Inc. Center #3*",2260 Crotona Avenue NY 10457,25,40.851087,-73.884482
"Trabajamos Community Head Start, Inc. Center #6*",1997 Bathgate Avenue NY 10457,35,40.849267,-73.896099
1199 FUTURE OF AMERICA LEARNING CENTER,2500 Creston Avenue NY 10468,66,40.8628875,-73.8978805
Brightside Academy - White Plains #1*,2901 White Plains Road NY 10467,16,40.8680816,-73.8676575
Brightside Academy - White Plains #2*,3942 White Plains Road NY 10466,15,40.8867726,-73.8610121
BRONX HOUSE 1,990 Pelham Parkway South NY 10461,0,40.856537,-73.860281
BRONX HOUSE 2,2222 Wallace Avenue NY 10467,0,40.8583113,-73.864669
Catherine Corry Early Childhood Academy,4321 Barnes Avenue NY 10466,118,40.8954523,-73.852861
Holy Rosary Schoool,1500 Arnow Avenue NY 10469,36,40.8674892,-73.8427893
HOWARD HABER EARLY LEARNING CENTER,2300 Westchester Avenue NY 10462,0,40.8350348,-73.8479705
Kingsbridge Heights Community Center*,295 West 231st Street NY 10467,60,40.880947,-73.9079129
Little Stars 3,1420 Burke Avenue NY 10469,40,40.872222,-73.846054
"LITTLE STARS SCHOOL, INC.",4063 Edson Avenue NY 10466,62,40.891485,-73.844361
"LITTLE STARS TOO, INC.",1083 Allerton Avenue NY 10469,40,40.865712,-73.856455
NEW COVENANT CHRISTIAN SCHOOL,1497 Needham Avenue NY 10469,72,40.8799743,-73.848417
North Bronx NCNW CDC*,4035 White Plains Road NY 10466,84,40.889662,-73.85988
Our Lady of Grace School,3981 Bronxwood Ave NY 10466,36,40.8861987,-73.8546173
St Lucy School,830 Mace Ave NY 10467,36,40.8631112,-73.8626124
St Mary School,3956 Carpenter Ave NY 10466,36,40.8885636,-73.8634042
St. Clare of Assisi School,1911 Hone Avenue NY 10461,0,40.8510545,-73.8564346
Sts. Philip & James School,1160 East 213th Street NY 10469,54,40.875032,-73.852234
Susan E. Wagner,1732 Davidson Avenue NY 10453,18,40.8479037,-73.913135
Susan E. Wagner Day Care Center*,1140 East 229th Street NY 10466,59,40.8864919,-73.8459724
SUSAN E. WAGNER DAY SCHOOL,4102 White Plains Road NY 10466,92,40.890751,-73.8588115
The Garvey School,950 Baychester Avenue NY 10475,38,40.8780453,-73.8331067
THE LEARNING TREE,801 Bartholdi Street NY 10467,72,40.874192,-73.862437
THE LUTHERAN CHURCH AND SCHOOL OF OUR SAVIOUR,1734 Williamsbridge Road NY 10461,0,40.8497858,-73.8509499
UCP/NYC'S BRONX CHILDREN'S PROGRAM,1770 Stillwell Avenue NY 10469,16,40.85781,-73.833538
UNITED EDUCARE PRESCHOOL,3950 Bronxwood Avenue NY 10466,36,40.885261,-73.854756
Victory*,3440 White Plains Road NY 10467,29,40.8763234,-73.8667647
Williamsbridge NAACP Sedgwick,670-680 East 219th Street NY 10467,54,40.8837508,-73.8634086
"YAI-New York League for Early Learning, Inc.",1180 East 214th Street NY 10469,16,40.875987,-73.8515009
Brightside Academy - Louis Nine*,1334 Louis Nine Boulevard NY 10459,35,40.8322239,-73.8924324
Brightside Academy - Southern*,1093 Southern Boulevard NY 10459,18,40.825826,-73.892259
Bronx Early Childhood Center*,1515 Southern Boulevard NY 10460,41,40.83321,-73.890618
Bronx River Child Care Center*,1555 East 174th Street NY 10472,28,40.8343471,-73.8789728
C.S. 61 Early Childhood,1550 Crotona Park East NY 10460,60,40.836142,-73.8927719
Cardinal McCloskey Services - Group Child Learning Center*,899 East 180th Street NY 10460,23,40.8450412,-73.8823322
Children's Aid at P.S. 211*,1919 Prospect Avenue NY 10460,29,40.8434011,-73.8898784
E Bronx Day Care Center*,1113 Colgate Avenue NY 10472,36,40.8258507,-73.8814244
East Tremont Child Care and Development Center*,1811 Crotona Avenue NY 10457,26,40.8428317,-73.8935237
HELP III*,785 Crotona Park North NY 10460,14,40.8407168,-73.89151
Intervale (Center #2)*,1054 Intervale Avenue NY 10459,65,40.8248928,-73.8967953
Kennedy Child Care Study Center,1028 East 179th Street NY 10460,36,40.8422697,-73.8802176
Lambert Center*,1005 East 179th Street NY 10460,36,40.8422796,-73.8801715
Little Scholars Early Development Center,851 Jennings Street NY 10459,27,40.8323282,-73.8934603
Phipps Community Development,921 East 180th Street NY 10460,72,40.8445009,-73.8809974
Puerto Rican Family Institute Bronx Head Start,1423 Prospect Avenue NY 10459,0,40.832659,-73.896981
SAINT JOHN CHRYSOSTOM SCHOOL,1144 Hoe Avenue NY 10459,72,40.827266,-73.890612
Sound Dale Center for ECE*,1211 Croes Avenue NY 10472,76,40.829769,-73.87102
Tremont Crotona*,1600 Crotona Park East NY 10460,57,40.836458,-73.891204
Tremont Monterey DCC 1*,887 Crotona Park North NY 10460,20,40.839407,-73.888731
Villia Maria Academy,3335 Country Club Road NY 10465,36,40.8414235,-73.8167672
"BAMBI Day Care CENTER, INC.",138 Hancock Street NY 11216,20,40.6822572,-73.9503261
BCS Du!eld Children's Center*,101 Fleet Place NY 11201,72,40.692723,-73.9813
Be Above - Elim International Academy,87 Putnam Avenue NY 11238,40,40.6830981,-73.9583117
Be Above 50*,87 Putnam Avenue NY 11238,9,40.6830981,-73.9583117
Bedford Stuyvesant ECDC 5Q,5 Quincy Street NY 11238,0,40.6859722,-73.9610701
Helen Owen Carey CDC*,71 Lincoln Place NY 11217,28,40.677119,-73.977547
Imagine Dumbo - Adams,85 Adams NY 11201,0,40.7017733,-73.988378
Imagine Dumbo - Monroe,50 Monroe Place NY 11201,0,40.6954939,-73.992668
Little Sun People,1360 Fulton Street NY 11216,18,40.6801253,-73.9464942
Montessori Day School of Brooklyn,237 Park Place NY 11213,0,40.6769689,-73.969618
Northside Center for Child Development,44-60 Rockwell Place NY 11201,20,40.6886733,-73.9795055
OUR CHILDREN'S CENTER,300 Jay Street NY 11201,20,40.6954929,-73.9875681
"The Salvation Army, Bedford*",110 Kosciusko St NY 11216,9,40.6905615,-73.9506164
BNOS SQUARE OF WILLIAMSBURG,382 Willoughby Avenue NY 11206,0,40.6929578,-73.9553472
Bushwick United HDFC 4*,178 Leonard Street NY 11206,12,40.7101488,-73.9468443
Bushwick United HDFC 5*,152 Manhattan Avenue NY 11206,43,40.7080542,-73.9447725
Bushwick United HDFC 9*,741 Flushing Avenue NY 11206,27,40.70081,-73.943224
CHILD DEVELOPMENT SUPPORT CORPORATION,802804 Kent Avenue NY 11238,0,40.6914774,-73.9588601
Cooper Park Child Care Center*,292 Frost Street NY 11222,14,40.7189033,-73.9395674
Graham Child Care Center,222 Graham Avenue NY 11206,40,40.709761,-73.9432575
John Oravecz ECDC*,25 Nassau Avenue NY 11222,66,40.7228229,-73.9536665
Jonathan Williams*,321 Roebling Street NY 11211,55,40.7083192,-73.9609875
Marcy Children's Center*,494 Marcy Avenue NY 11206,15,40.6980269,-73.9497622
NEW YORK LEAGUE FOR EARLY LEARNING,725 Leonard Street NY 11222,0,40.729315,-73.9532081
Nuestros Ninos DCC I*,384 South 4th Street NY 11211,41,40.7078733,-73.9525296
Nuestros Ninos DCC II*,243 South 2nd Street NY 11211,22,40.711913,-73.957756
Nuestros Ninos DCC III*,161 South 3rd Street NY 11211,7,40.7120326,-73.961227
Our Children the Leaders of Tomorrow 1*,756 Myrtle Avenue NY 11206,17,40.6948631,-73.9518333
Padre Kennedy ECDC*,243 South 2nd Street NY 11211,6,40.711913,-73.957756
"Puerto Rican Family Institute, Inc.",185 Marcy Avenue NY 11211,25,40.707779,-73.957922
Sheltering Arms Day Care Services Inc.,11 Bartlett Street NY 11206,18,40.700268,-73.9482559
Stagg Street Center for Children*,77 Stagg Street NY 11206,40,40.709284,-73.9474031
Sumner Children's Center*,860 Park Avenue NY 11206,28,40.6985921,-73.9406113
TIFERES BNOS.,80 Skillman Street NY 11205,0,40.6961059,-73.9575508
Tompkins Children's Center*,730 Park Avenue NY 11206,31,40.697939,-73.9463807
Williamsburg CCC*,110 Taylor Street NY 11211,13,40.7053063,-73.9638798
WILLIAMSBURG NORTHSIDE PRE- SCHOOL,70 Havemeyer Street NY 11211,0,40.714622,-73.955214
Williamsburg Y Head Start,6470 Division Avenue NY 11211,0,40.7073896,-73.9608874
Yeshiva Jesode Hatora,505 Bedford Avenue NY 11211,0,40.706154,-73.962994
A. FANTIS PAROCHIAL,195 State Street NY 11201,0,40.690269,-73.9913733
ACE Early Childhood Center*,199 14th Street NY 11215,16,40.6672439,-73.990294
"Al Madinah School, Inc.",383 3rd Avenue NY 11215,0,40.6743676,-73.9883948
Bay Ridge Child Care Center,322 44th Street NY 11220,60,40.6507281,-74.010597
BCA Bay Ridge DCC*,871 50th Street NY 11220,87,40.640187,-74.001711
BCA Day Care Center*,713 43rd Street NY 11232,106,40.646262,-74.0012239
Be Above 46*,4500 Ninth Avenue NY 11220,34,40.6424029,-73.998985
Brooklyn Chinese American Association,4116 8th Avenue NY 11232,30,40.645986,-73.99903
Brooklyn Chinese- American Association,5002 8th Ave NY 11220,36,40.641128,-74.004032
BROOKLYN FREE SPACE,298 Sixth Avenue NY 11215,0,40.6722376,-73.9804691
Bubble Bee Day Care,76 Lorraine Street NY 11231,0,40.6743652,-74.0068445
Bumble Bees R Us 2*,76 Lorraine Street NY 11231,6,40.6743652,-74.0068445
CHICK PEAS CHILD CARE,451 7th Avenue NY 11215,0,40.662765,-73.984675
Early Childhood Education Center,871 50 Street NY 11220,54,40.640187,-74.001711
"HANOVER PLACE CHILD CARE CENTER, LLC",15 Hanover Place NY 11201,0,40.6887435,-73.9822854
"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",55 Hanson Place NY 11217,20,40.685608,-73.975776
"New York Creative Childcare, Inc.",5015 6th Avenue NY 11220,36,40.643274,-74.008255
OPEN HOUSE NURSERY SCHOOL,318A Warren Street NY 11201,0,40.6855144,-73.9919959
Pre-Pave,732 Henry Street NY 11231,36,40.675905,-74.003866
Shirley Chisholm Day Care Center Site 2*,333 14th Street NY 11215,38,40.6646678,-73.9856711
St. Andrews Community Day Care*,4917 Fourth Avenue NY 11220,22,40.646475,-74.0121379
St. Francis Xavier,763 President Street NY 11215,0,40.67447,-73.976927
Stanley S. Lamm Institute Preschool,500 19th Street NY 11215,0,40.656204,-73.982638
Strong Place for Hope Day Care Center/DBA Strong Place for Hope Day Care - Atlantic*,460 Atlantic Avenue NY 11217,28,40.6860743,-73.9831035
Strong Place for Hope Day Care Center/DBA Strong Place for Hope Day Care - Clinton*,595 Clinton Street NY 11231,32,40.6749008,-74.0015897
The United Methodist City Society,4419 7th Avenue NY 11220,0,40.6454168,-74.0027976
Warren Street Center*,343 Warren Street NY 11201,22,40.685239,-73.990252
Yeled V' Yalda 1257,1257 38th Street NY 11218,0,40.641837,-73.986192
BCS Atlantic Avenue Early Learning Center*,1825 Atlantic Avenue NY 11233,18,40.6772498,-73.9255123
Bedford Stuyvesant Early Childhood Development Center,281 Stuyvesant Avenue NY 11221,0,40.684858,-73.932135
Bedford Stuyvesant ECDC 133,133 Kings First Walk NY 11233,0,40.6755016,-73.927178
Bedford Stuyvesant ECDC 260,260 Je!erson Avenue NY 11216,0,40.6788319,-73.9506774
Bedford Stuyvesant ECDC 262,262 Lexington Avenue NY 11216,0,40.6876114,-73.9514253
Bedford Stuyvesant ECDC 265,813 Hancock Street NY 11233,0,40.685878,-73.922772
Bedford Stuyvesant ECDC 510,510 Quincy Street NY 11221,0,40.687769,-73.940244
Bedford- Stuyvesant Early Childhood Development Center,971 Dekalb Avenue NY 11206,20,40.6930168,-73.9372077
Bedford- Stuyvesant Early Childhood Development Center,275 MARCUS GARVEY NY 11211,0,40.6881308,-73.9390439
Bedford- Stuyvesant Early Childhood Development Center,214 Stuyvesant Avenue NY 11211,37,40.6878804,-73.9330506
Bishop Sexton*,933 Herkimer Street NY 11233,54,40.6783447,-73.9224193
Brevoort Children's Center*,250 Ralph Avenue NY 11233,15,40.6809216,-73.9223641
Brightside Academy - Dekalb Ave*,876 Dekalb Avenue NY 11221,14,40.692246,-73.9408119
Community Parents Head Start*,90 Chauncey Street NY 11233,32,40.6801996,-73.9305824
Cornerstone Day Care Center*,289 Lewis Avenue NY 11221,16,40.6858803,-73.9356095
Friends of Crown Heights 29*,1435 Prospect Place NY 11213,35,40.6731897,-73.9291241
LSSMNY: Early LIFE Children's Center 8*,265 Marcus Garvey Boulevard NY 11221,37,40.68854,-73.93879
MARY MCLEOD BETHUNE DAY CARE CENTER,360 Pulaski Street NY 11206,36,40.6938346,-73.9363579
Park Place Day Care Center*,963 Park Place NY 11213,14,40.673455,-73.945578
Shirley Chisholm Day Care Center Site 1*,2023 Pacific Street NY 11223,42,40.676316,-73.921033
196 Albany Avenue DCC*,196 Albany Avenue NY 11213,40,40.6739275,-73.9392213
3504 CHURCH AVENUE DAY CARE INC D/B/A  P B Children's Academy,3504 Church Avenue NY 11203,72,40.650832,-73.944517
All My Children Day Care 10*,420 Le!erts Avenue NY 11225,22,40.6648278,-73.9565551
All My Children Day Care 11*,317 Rogers Avenue NY 11225,29,40.665663,-73.953357
All My Children Day Care 13 - Ford*,36 Ford Street NY 11213,18,40.6645043,-73.9294446
All My Children Day Care 15*,36 Ford Street NY 11213,12,40.6645043,-73.9294446
All My Children Day Care 16*,739 East New York Avenue NY 11203,16,40.662579,-73.938023
ASSOCIATED BETH RIVKAH SCHOOLS - PRESCHOOL,470 Le!erts Avenue NY 11225,0,40.6648278,-73.9565551
"BAMBI Day Care CENTER, INC.",300 Rogers Avenue NY 11225,58,40.666077,-73.953869
Be Above 37*,570 Crown Street NY 11213,63,40.665331,-73.939469
Bnos Menachem,739 East New York Avenue NY 11203,0,40.662579,-73.938023
Brightside Academy - Clarkson*,210 Clarkson Avenue NY 11226,25,40.6550568,-73.9525965
Edwards L. Cleveland Children's Center*,1185 Park Place NY 11213,27,40.672841,-73.9390108
Friends of Crown Heights 10*,1491 Bedford Avenue NY 11216,34,40.6722276,-73.9544877
Friends of Crown Heights 11*,995 Carroll Street NY 11225,38,40.6678799,-73.9570789
Friends of Crown Heights 2*,671 Prospect Place NY 11216,45,40.6746473,-73.9543398
Friends of Crown Heights 9*,813 Sterling Place NY 11216,47,40.672621,-73.9516022
Hawthorne Corners Day Care Center*,1950 Bedford Avenue NY 11225,25,40.6574068,-73.956598
"HIGHLIGHTS ACADEMY, INC.",1688 President Street NY 11213,38,40.667009,-73.9313267
Infant and Child Learning Center,670 Parkside Avenue NY 11226,18,40.65593,-73.95128
Inner Force Tots*,1181 East New York Avenue NY 11212,102,40.667156,-73.923209
JOAN WATKINS CORP D/B/A PRE-SCHOOL MINDS DAY CARE CENTER,3316-18 Church Avenue NY 11203,40,40.650753,-73.946044
M.A.C.A.D.E.M.Y.,1313 Union Street NY 11225,0,40.669056,-73.948633
Medgar Evers Head Start*,60 East 93rd Street NY 11212,63,40.6626835,-73.9272486
Noah's Ark Progressive Learning Center III,898-900 Rogers Avenue NY 11226,72,40.648345,-73.9524094
Parkside ECDC*,525 Parkside Avenue NY 11226,15,40.656094,-73.955971
"PHEBEANA PRESCHOOL, INC.",160 Parkside Avenue NY 11226,48,40.654161,-73.962916
Phyl's Academy,3520 Tilden Avenue NY 11203,72,40.646713,-73.943644
St Johns Place Family Center Day Care Program*,1620 Saint Johns Place NY 11233,19,40.669896,-73.924054
THE CHILDREN'S CENTER @ SUNY BROOKLYN,440 Lenox Road NY 11203,16,40.654103,-73.944622
Traditional Day Care Center*,1112 Winthrop Street NY 11212,19,40.661817,-73.92285
Yeled V'Yalda 667,667 Eastern Parkway NY 11213,0,40.6696863,-73.9463128
"Apple Tree Day Care, Inc.",440 East 48th Street NY 11203,20,40.650991,-73.932547
Be Above 26 - FD,771 East 49th Street NY 11203,58,40.6426734,-73.9304138
Be Above 26*,771 East 49th Street NY 11203,77,40.6426734,-73.9304138
"Birch Family Services, inc.",475 East 57th Street NY 11203,38,40.643774,-73.9222829
"HEBREW ACADEMY FOR SPECIAL CHILDREN, INC.",555 Remsen Avenue NY 11236,0,40.653149,-73.9199299
Hebrew Educational Society*,9502 Seaview Avenue NY 11236,36,40.6327117,-73.8909712
John F. Kennedy ECDC*,10315 Farragut Road NY 11236,7,40.6500108,-73.8993583
PAERDEGAT DAY SCHOOL,1500 Paerdegat Avenue North NY 11236,0,40.6271213,-73.9024082
